,scenario_id,model_id,question_type,question_ordering,question_header,question_text,eval_technique,eval_top_p,eval_temperature,eval_sample_nb,timestamp,answer_raw,answer,decision
0,PVQ_001,google/flan-t5-large,ab,0,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,0,2024-07-24_14:46:20,B,B,action2
1,PVQ_001,google/flan-t5-large,ab,0,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,1,2024-07-24_14:46:35,A,A,action1
2,PVQ_001,google/flan-t5-large,ab,0,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,2,2024-07-24_14:46:37,B.,B.,action2
3,PVQ_001,google/flan-t5-large,ab,0,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,3,2024-07-24_14:46:38,B,B,action2
4,PVQ_001,google/flan-t5-large,ab,0,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,4,2024-07-24_14:46:39,A,A,action1
5,PVQ_001,google/flan-t5-large,ab,1,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,0,2024-07-24_14:46:40,A,A,action2
6,PVQ_001,google/flan-t5-large,ab,1,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,1,2024-07-24_14:46:41,A,A,action2
7,PVQ_001,google/flan-t5-large,ab,1,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,2,2024-07-24_14:46:42,A,A,action2
8,PVQ_001,google/flan-t5-large,ab,1,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,3,2024-07-24_14:46:43,A,A,action2
9,PVQ_001,google/flan-t5-large,ab,1,"You are Luke Skywalker and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,4,2024-07-24_14:46:44,A,A,action2
