,scenario_id,model_id,question_type,question_ordering,question_header,question_text,eval_technique,eval_top_p,eval_temperature,eval_sample_nb,timestamp,answer_raw,answer,decision
0,PVQ_O001,openai/gpt-3.5-turbo,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-14_15:38:37,A,A,action1
1,PVQ_O001,openai/gpt-3.5-turbo,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-14_15:38:38,B,B,action2
2,PVQ_O001,openai/gpt-3.5-turbo,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-14_15:38:38,B,B,action2
3,PVQ_O001,openai/gpt-3.5-turbo,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-14_15:38:39,A,A,action1
4,PVQ_O001,openai/gpt-3.5-turbo,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-14_15:38:39,B,B,action2
5,PVQ_O001,openai/gpt-3.5-turbo,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-14_15:38:40,A,A,action2
6,PVQ_O001,openai/gpt-3.5-turbo,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-14_15:38:41,B,B,action1
7,PVQ_O001,openai/gpt-3.5-turbo,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-14_15:38:41,A,A,action2
8,PVQ_O001,openai/gpt-3.5-turbo,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-14_15:38:42,A,A,action2
9,PVQ_O001,openai/gpt-3.5-turbo,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-14_15:38:42,B,B,action1
0,PVQ_O002,openai/gpt-3.5-turbo,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. It is important to her to be rich. She wants to have a lot of money and expensive things. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-14_15:38:51,B,B,action2
1,PVQ_O002,openai/gpt-3.5-turbo,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. It is important to her to be rich. She wants to have a lot of money and expensive things. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-14_15:38:52,B,B,action2
