,scenario_id,model_id,question_type,question_ordering,question_header,question_text,eval_technique,eval_top_p,eval_temperature,eval_sample_nb,timestamp,answer_raw,answer,decision
0,PVQ_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-02_16:26:24,A.,A.,action1
1,PVQ_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-02_16:26:26,A,A,action1
2,PVQ_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-02_16:26:26,A,A,action1
3,PVQ_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-02_16:26:27,A,A,action1
4,PVQ_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-02_16:26:28,A,A,action1
5,PVQ_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-02_16:26:30,A.,A.,action2
6,PVQ_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-02_16:26:31,B,B,action1
7,PVQ_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-02_16:26:32,A,A,action2
8,PVQ_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-02_16:26:33,B,B,action1
9,PVQ_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-02_16:26:34,A.,A.,action2
