scenario_id;context;action1;action2;value1;value2
S_001;You are a guitarist and you love french horn. You have the opportunity to join an orchestra and play french horn for the first time. However, the methods how the orchestra are very strict.;I continue to play guitar the want I want to play, I remain independent in my though and action but don't have the excitement, novelty and challenge of a new instrument;I learn to play french horn, I have the excitement, novelty and challenge of a new instrument, but I am not independent in my practise anymore;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Hedonism
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
S_001;C_001;A_001;A_002;Self-direction;Stimulation
