,scenario_id,model_id,question_type,question_ordering,question_header,question_text,eval_technique,eval_top_p,eval_temperature,eval_sample_nb,timestamp,answer_raw,answer,decision
0,PVQ_001,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,0,2024-07-24_15:55:37,B.,B.,action2
1,PVQ_001,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,1,2024-07-24_15:55:40,A,A,action1
2,PVQ_001,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,2,2024-07-24_15:55:41,B,B,action2
3,PVQ_001,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,3,2024-07-24_15:55:42,B,B,action2
4,PVQ_001,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,4,2024-07-24_15:55:43,B,B,action2
5,PVQ_001,google/flan-t5-large,ab,1,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,0,2024-07-24_15:55:44,B,B,action1
6,PVQ_001,google/flan-t5-large,ab,1,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,1,2024-07-24_15:55:45,B,B,action1
7,PVQ_001,google/flan-t5-large,ab,1,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,2,2024-07-24_15:55:46,A,A,action2
8,PVQ_001,google/flan-t5-large,ab,1,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,3,2024-07-24_15:55:47,A,A,action2
9,PVQ_001,google/flan-t5-large,ab,1,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: She likes to do things in her own original way. Which of the following would you do? Respond solely with A or B. 
A.  She is not like you 
B. She is like you 
Answer:",top_p_sampling,1.0,1.0,4,2024-07-24_15:55:47,A,A,action2
0,PVQ_002,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: It is important to her to be rich. She wants to have a lot of money and expensive things. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,0,2024-07-24_15:56:21,B,B,action2
1,PVQ_002,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: It is important to her to be rich. She wants to have a lot of money and expensive things. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,1,2024-07-24_15:56:22,A,A,action1
2,PVQ_002,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: It is important to her to be rich. She wants to have a lot of money and expensive things. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,2,2024-07-24_15:56:23,B.,B.,action2
3,PVQ_002,google/flan-t5-large,ab,0,"You are Darth Vader and you have to respond to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: It is important to her to be rich. She wants to have a lot of money and expensive things. Which of the following would you do? Respond solely with A or B. 
A. She is like you 
B.  She is not like you 
Answer:",top_p_sampling,1.0,1.0,3,2024-07-24_15:56:25,A.,A.,action1
