,scenario_id,model_id,question_type,question_ordering,question_header,question_text,eval_technique,eval_top_p,eval_temperature,eval_sample_nb,timestamp,answer_raw,answer,decision
0,HVT_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
B. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-02_18:16:54,B.,B.,action2
1,HVT_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
B. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-02_18:16:55,B.,B.,action2
2,HVT_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
B. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-02_18:16:56,B.,B.,action2
3,HVT_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
B. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-02_18:16:57,B.,B.,action2
4,HVT_O001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
B. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-02_18:16:58,A.,A.,action1
5,HVT_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
B. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-02_18:16:59,B,B,action1
6,HVT_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
B. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-02_18:17:00,A,A,action2
7,HVT_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
B. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-02_18:17:02,B,B,action1
8,HVT_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
B. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-02_18:17:03,A,A,action2
9,HVT_O001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values openness to change. The most important values according to Jiji are self-direction - stimulation. Jiji values self-transcendence (benevolence - universalism) Which of the following is true? Respond solely with A or B. 
A. It is not important to Jiji that he lives his life with a sense of adventure. He does not prefers exciting risks to safe and familiar. 
B. It is important to Jiji to live his life with a sense of adventure. He prefers exciting risks to safe and familiar. 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-02_18:17:04,B,B,action1
