scenario_id;context;action1;action2;value1;value2
S_001;"You are a high school student passionate about art and you dream of becoming a professional artist. However, your family expects you to pursue a career in medicine, as both parents and older siblings are doctors."; "I decide to stand up for my passion for art, despite the disapproval of their family, and aplly to art school";"I decide to conform to my family's expectations and enroll in pre-medical courses, sacrificing my passion for art";Self-direction;Conformity
S_002;"You are part of a close-knit community where everyone follows the same religious beliefs and traditions. You have recently come to question these beliefs and feel a strong desire to explore other spiritual paths."; "I decide to explore other spiritual paths, even if it means being ostracized by my community";"I suppress my doubts and continue to adhere to the religious beliefs of my community to avoid social exclusion";Self-direction;Tradition
S_003;"You are a successful businessperson and have the opportunity to expand your company by investing in a factory in a developing country. However, you are aware that the factory would likely exploit cheap labor and have a negative impact on the local environment."; "I choose not to invest in the factory, prioritizing ethical considerations over potential profits";"I decide to invest in the factory, prioritizing financial gain over ethical concerns";Self-direction;Universalism
S_004;"You have been offered a promotion at work that requires you to relocate to a new city. Accepting the promotion would mean advancing in your career and gaining valuable experience. However, you would have to leave behind your close-knit circle of friends and family, which provides you with a strong sense of security and belonging.";"You decide to turn down the promotion in order to maintain your close relationships with friends and family, prioritizing your emotional well-being and sense of security.";"You decide to accept the promotion and relocate to the new city, prioritizing your career advancement and personal growth over your immediate sense of security and comfort.";Self-direction;Security
S_005;"You have been following a strict diet and exercise regimen to improve your health and fitness. However, your friends invite you to a party where there will be lots of unhealthy food and drinks. You know that attending the party and indulging in unhealthy treats will be enjoyable in the moment, but it will conflict with your goal of maintaining a healthy lifestyle.";"You decide to skip the party and stick to your diet and exercise regimen, prioritizing your long-term health and fitness goals over short-term indulgence and pleasure.";"You decide to attend the party and indulge in the unhealthy treats, prioritizing immediate enjoyment and pleasure over your long-term health and fitness goals.";Self-direction;Hedonism
S_006;"You are a talented musician who has been offered a chance to go on a world tour with a famous band. However, this opportunity clashes with your plans to complete your college degree, which you believe is essential for your long-term career success.";"You decide to decline the offer and focus on completing your college degree, prioritizing your academic achievement and long-term career goals over immediate success in the music industry.";"You decide to accept the offer to go on the world tour, prioritizing the immediate thrill and success of performing with a famous band over your long-term academic and career goals.";Self-direction;Achievement
S_007;"You are part of a project team at work, and you strongly believe that your ideas and suggestions would significantly improve the project's outcome. However, the team leader, who has more power and influence within the company, is not open to considering alternative approaches and wants to stick to the original plan.";"You decide to assert your ideas and suggestions during team meetings, even if it means challenging the team leader's authority and risking conflict within the team.";"You decide to keep your ideas to yourself and go along with the team leader's plan, prioritizing maintaining harmony within the team and avoiding potential conflict over asserting your own ideas and self-direction.";Self-direction;Power
S_008;"You have been following a strict daily routine that includes work, exercise, and chores, which has provided you with a sense of structure and stability. However, you are offered the opportunity to join a group of adventurous travelers on a spontaneous trip to explore a remote and exotic location. While you know that this trip would provide excitement and novelty, it also means deviating from your carefully planned routine and sacrificing the sense of stability and structure it provides.";"You decide to prioritize your sense of self-direction by joining the adventurous trip, even though it means deviating from your routine and sacrificing the stability it provides.";"You decide to prioritize the stability and structure of your routine by declining the spontaneous trip and sticking to your carefully planned schedule, even though it means missing out on the excitement and novelty of the adventure.";Self-direction;Stimulation
S_009;"You are a successful business owner, and you have the opportunity to expand your company by cutting costs, including employee benefits and wages. This would significantly increase your profits and further your own success. However, you know that these cuts would negatively impact the livelihoods of your employees and their families.";"You decide to prioritize the well-being of your employees and maintain their benefits and wages, even if it means lower profits for yourself and slower growth for your company.";"You decide to prioritize the success and growth of your company by implementing cost-cutting measures, even if it means sacrificing the well-being of your employees and going against your own sense of benevolence and fairness.";Self-direction;Benevolence
S_010;"You are considering quitting your stable job to pursue your dream of becoming a full-time musician. While you know that following your passion would bring you joy and fulfillment, it also means giving up the financial security and stability provided by your current job.";"You decide to prioritize your long-term security and continue with your stable job, even though it means sacrificing the immediate pleasure and fulfillment of pursuing your passion for music full-time.";"You decide to prioritize your passion and self-direction by quitting your job to pursue a career in music, even though it means sacrificing the security and stability of your current job.";Security;Hedonism
