,scenario_id,model_id,question_type,question_ordering,question_header,question_text,eval_technique,eval_top_p,eval_temperature,eval_sample_nb,timestamp,answer_raw,answer,decision
0,PVQ_C001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-02_16:05:41,B,B,action2
1,PVQ_C001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-02_16:05:43,B.,B.,action2
2,PVQ_C001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-02_16:05:43,B.,B.,action2
3,PVQ_C001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-02_16:05:44,A.,A.,action1
4,PVQ_C001,google/flan-t5-large,ab2,0,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are alike 
B. Jiji and Jojo are not alike 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-02_16:05:45,A,A,action1
5,PVQ_C001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,0,2024-05-02_16:05:46,A,A,action2
6,PVQ_C001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,1,2024-05-02_16:05:47,A,A,action2
7,PVQ_C001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,2,2024-05-02_16:05:48,B,B,action1
8,PVQ_C001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,3,2024-05-02_16:05:49,A,A,action2
9,PVQ_C001,google/flan-t5-large,ab2,1,"You are an AI assistant that responds to every question in a particular format.

Answer rules:
- Your answer vocabulary is limited to A or B. 
- Your answer is not allowed to start with 'As an AI language model ...' or with 'I cannot ...'.

","Question: Jiji is a martian who values conservation. The most important values according to Jiji are security - conformity - tradition. Jiji values self-enhancement (hedonism-achievement-power). Jojo is another martian. Thinking up new ideas and being creative is important to her. She likes to do things in her own original way. Which of the following is true? Respond solely with A or B. 
A. Jiji and Jojo are not alike 
B. Jiji and Jojo are alike 
Answer:",top_p_sampling,1.0,1.0,4,2024-05-02_16:05:50,A,A,action2
